testing_performance,testing_complexity,training_performance,training_complexity,task_id,validation,seed
0.7948717948717948,94286,0.8018423645320197,82540,168784,aggregated,10329
0.8840579710144928,7781,0.879237071172555,7381,146818,aggregated,10024
0.78,110111,0.7733333333333332,100817,168757,aggregated,10133
0.910958904109589,104,0.9260640758732362,104,359958,aggregated,10203
0.81,90701,0.7711111111111111,81910,168757,aggregated,10150
0.8307692307692308,207131,0.8007192118226601,204889,168784,aggregated,10311
0.78,45801,0.7644444444444444,41666,168757,aggregated,10121
0.9130434782608695,394,0.8744239631336406,394,146818,aggregated,10028
1.0,69461,0.9929197684036394,53190,359960,aggregated,10272
0.8358974358974359,242122,0.8012512315270935,220866,168784,aggregated,10303
0.78,98811,0.7733333333333332,89167,168757,aggregated,10142
0.8705882352941177,1298,0.8502734107997266,1298,190146,aggregated,10117
0.7733333333333333,306,0.7964223002633889,296,359955,aggregated,10062
0.8530805687203792,5201,0.8635282651072125,5201,359962,aggregated,10357
0.8815165876777251,140836,0.8635338345864663,125962,359962,aggregated,10334
0.9178082191780822,87741,0.9192169789498035,81492,359958,aggregated,10190
0.8823529411764706,1446,0.8580314422419685,1446,190146,aggregated,10109
0.8720379146919431,296532,0.8651211361737678,268147,359962,aggregated,10349
0.6577181208053692,38033,0.5977499719447873,34338,2073,aggregated,10260
0.8705882352941177,2867,0.8554853041695148,2867,190146,aggregated,10105
0.8815165876777251,773,0.8646003898635477,773,359962,aggregated,10338
0.8985507246376812,97301,0.8777521761392728,87774,146818,aggregated,10012
0.7733333333333333,50892,0.809745390693591,46967,359955,aggregated,10070
0.8625592417061612,38171,0.862478418267892,35313,359962,aggregated,10345
0.8767123287671232,576,0.9161924589405505,576,359958,aggregated,10182
0.841025641025641,400591,0.7972906403940886,387137,168784,aggregated,10327
0.581081081081081,1055,0.5795967190704033,950,359959,aggregated,10211
0.6486486486486487,73071,0.6948665762098598,66103,359954,aggregated,10037
1.0,2768,1.0,2768,359960,aggregated,10281
0.9150943396226415,1818,0.8850391937290032,1818,359956,aggregated,10159
0.6081081081081081,80311,0.6978968792401629,72676,359954,aggregated,10054
0.8867924528301887,437,0.8935610302351623,437,359956,aggregated,10155
1.0,1901,0.9980727874276262,1901,359960,aggregated,10293
0.6756756756756757,133471,0.6873360470375396,120688,359954,aggregated,10058
0.7162162162162162,113831,0.6905020352781547,101934,359954,aggregated,10046
0.6912751677852349,83101,0.605975760296263,75029,2073,aggregated,10256
0.8588235294117647,2958,0.8514866712235134,2958,190146,aggregated,10095
0.8867924528301887,715,0.8861926091825308,714,359956,aggregated,10163
0.5743243243243243,60211,0.5682900432900433,54278,359959,aggregated,10235
0.7466666666666667,3851,0.8040386303775241,3851,359955,aggregated,10083
0.8867924528301887,16011,0.8735498320268757,14392,359956,aggregated,10171
0.5337837837837838,8956,0.5728582820688085,7948,359959,aggregated,10227
0.5135135135135135,59371,0.5736500341763499,53389,359959,aggregated,10239
0.8588235294117647,893,0.8515208475734791,893,190146,aggregated,10099
0.77,27406,0.7788888888888889,24649,168757,compressed,10523
0.8358974358974359,916031,0.8161444991789819,832879,168784,compressed,10701
0.77,30382,0.7766666666666666,27047,168757,compressed,10540
0.7248322147651006,173611,0.6231343283582089,156525,2073,compressed,10644
0.8,43101,0.7777777777777778,39146,168757,compressed,10531
0.7181208053691275,173751,0.6307260689036023,155279,2073,compressed,10652
0.8840579710144928,58046,0.892268305171531,53295,146818,compressed,10426
0.8307692307692308,498221,0.8167192118226602,452012,168784,compressed,10713
0.8972602739726028,132501,0.9245489243580847,124227,359958,compressed,10601
0.8767772511848341,411611,0.8703815093288778,373112,359962,compressed,10747
0.7733333333333333,2741,0.8054433713784022,2435,359955,compressed,10472
0.8985507246376812,14191,0.888888888888889,12727,146818,compressed,10410
0.9058823529411765,1128,0.8567669172932331,1128,190146,compressed,10507
0.8307692307692308,497686,0.816712643678161,453017,168784,compressed,10725
0.8862559241706162,358821,0.8729991645781121,325749,359962,compressed,10759
0.8588235294117647,1445,0.867259056732741,1357,190146,compressed,10519
0.8720379146919431,109656,0.8640657198551935,98469,359962,compressed,10755
0.8256410256410256,989241,0.8235632183908045,902952,168784,compressed,10729
0.8695652173913043,2663,0.8825652841781875,2427,146818,compressed,10402
0.9058823529411765,903,0.8672932330827068,903,190146,compressed,10515
0.8490566037735849,448,0.889417693169093,448,359956,compressed,10580
0.910958904109589,616,0.9260872079574369,616,359958,compressed,10592
0.6711409395973155,358811,0.6322073841319718,323296,2073,compressed,10668
0.8530805687203792,202791,0.8687997772208298,182892,359962,compressed,10736
1.0,210,1.0,210,359960,compressed,10691
0.8773584905660378,113662,0.8914781634938409,103071,359956,compressed,10557
0.6711409395973155,597861,0.6202165862417237,532507,2073,compressed,10648
0.6756756756756757,138871,0.693306196291271,126772,359954,compressed,10444
0.6891891891891891,91801,0.6961781999095431,83971,359954,compressed,10439
0.7162162162162162,65386,0.696268656716418,58880,359954,compressed,10448
1.0,1214,1.0,1214,359960,compressed,10683
0.6351351351351351,69341,0.6978742650384442,62727,359954,compressed,10435
0.5405405405405406,11035,0.5826270221007064,9758,359959,compressed,10613
0.7027027027027027,339,0.6965400271370421,336,359954,compressed,10456
0.5945945945945946,261,0.5818922305764411,264,359959,compressed,10625
0.8490566037735849,714,0.8893729003359463,714,359956,compressed,10573
0.6351351351351351,80551,0.6964043419267301,73338,359954,compressed,10460
0.5337837837837838,33925,0.5735759854180907,30412,359959,compressed,10637
0.8823529411764706,1445,0.8489917976760083,1445,190146,compressed,10497
0.8490566037735849,96381,0.8861590145576708,88270,359956,compressed,10561
0.6845637583892618,227971,0.6262260127931769,206731,2073,compressed,10664
0.7733333333333333,1599,0.8112379280070237,1599,359955,compressed,10481
0.5337837837837838,34811,0.5810947824105719,31106,359959,compressed,10629
0.6891891891891891,70701,0.7037539574853008,63414,359954,compressed,10454
0.8301886792452831,110,0.8882642777155654,110,359956,compressed,10559
0.697986577181208,462871,0.6172876220401752,417390,2073,compressed,10665
1.0,488,1.0,488,359960,compressed,10681
0.5337837837837838,624,0.5796251993620415,624,359959,compressed,10611
0.6486486486486487,117761,0.7040705563093623,108425,359954,compressed,10437
0.6486486486486487,66011,0.6858887381275441,59605,359954,compressed,10446
1.0,189,1.0,189,359960,compressed,10693
0.7027027027027027,38056,0.7038218000904568,34760,359954,compressed,10458
0.8584905660377359,180441,0.8830123180291153,163782,359956,compressed,10555
0.7733333333333333,22,0.8113257243195786,22,359955,compressed,10483
0.8705882352941177,1445,0.8553485987696513,1445,190146,compressed,10495
0.8679245283018868,142,0.8872116461366181,142,359956,compressed,10563
0.5675675675675675,51091,0.5796365914786967,46256,359959,compressed,10635
